LAD19CD,Number of charities,"Charity density (per 1,000 people)"
E06000001,116,1.244074558675275
E06000002,179,1.2736134334199012
E06000003,169,1.2361210667212803
E06000004,207,1.0496265459173584
E06000005,152,1.4263461141452245
E06000006,143,1.11342967484739
E06000007,340,1.6225476861992776
E06000008,243,1.6315075667038177
E06000009,117,0.8398837084096048
E06000010,334,1.2814364365324484
E06000011,829,2.4410065545001087
E06000012,177,1.107489003322467
E06000013,286,1.6627423621406354
E06000014,638,3.039644009090346
E06000015,368,1.4309378086431754
E06000016,580,1.6328001396325638
E06000017,167,4.206867017658766
E06000018,564,1.7035723670896399
E06000019,837,4.356946909795062
E06000020,278,1.5635633496251384
E06000021,245,0.9576559708872585
E06000022,622,3.2377958002352867
E06000023,1294,2.7923738414561776
E06000024,491,2.295261290488456
E06000025,582,2.0591273828561727
E06000026,425,1.6153553781832002
E06000027,250,1.8412137280895566
E06000030,373,1.6802104542424188
E06000031,343,1.706119647236136
E06000032,287,1.3404387484879197
E06000033,265,1.4523492434082528
E06000034,181,1.0491233154615272
E06000035,393,1.4144067949110148
E06000036,207,1.7012393569808344
E06000037,566,3.570369716199764
E06000038,341,2.0894223758141703
E06000039,150,1.0059552551102529
E06000040,461,3.0548818469775885
E06000041,414,2.464593788509278
E06000042,554,2.062492786859613
E06000043,657,2.262435647996694
E06000044,286,1.329410178819614
E06000045,365,1.4438519596829065
E06000046,401,2.8331614124828666
E06000047,968,1.8368818550988653
E06000049,912,2.395020877649098
E06000050,827,2.428766938226501
E06000051,1161,3.6250210757039283
E06000052,1778,3.14152036864275
E06000053,15,6.6904549509366635
E06000054,1887,3.788669729191429
E06000055,508,2.9599762269625867
E06000056,724,2.5528373870792582
E06000057,928,2.8975189993568007
E06000058,657,1.65999636165181
E06000059,1502,3.9895453724461065
E07000004,709,3.5548112791304
E07000005,441,4.597245822344074
E07000006,243,3.469297431577745
E07000007,549,3.1435917109956995
E07000008,542,4.309864978768747
E07000009,284,3.1780846444797564
E07000010,190,1.8720871801440522
E07000011,491,2.768505570842167
E07000012,684,4.342333305823424
E07000026,380,3.8963569062926164
E07000027,110,1.6384408001549071
E07000028,274,2.5279784475998044
E07000029,181,2.64527066526365
E07000030,360,6.807738129006638
E07000031,634,6.065128381739563
E07000032,282,2.2261166106190498
E07000033,99,1.2448132780082988
E07000034,163,1.5579003708376344
E07000035,382,5.30725092737958
E07000036,166,1.437353883453113
E07000037,248,2.6891922664035306
E07000038,201,1.9876390605686034
E07000039,238,2.2776645325524196
E07000040,566,3.9219218803051614
E07000041,363,2.7831447235256235
E07000042,406,4.969704388273456
E07000043,340,3.537613151597128
E07000044,468,5.4279119935978475
E07000045,493,3.711119809701605
E07000046,268,3.9329058010360565
E07000047,260,4.682322431926235
E07000061,201,1.948429623885227
E07000062,200,2.153895859135211
E07000063,336,3.270263957019388
E07000064,343,3.5857656602826795
E07000065,568,3.5461214296862806
E07000066,238,1.2805199556660316
E07000067,386,2.5468293294449103
E07000068,208,2.7171783148269104
E07000069,99,1.0991451093593871
E07000070,450,2.541238656192999
E07000071,419,2.176363343600505
E07000072,293,2.2343045822307968
E07000073,107,1.2356514308150681
E07000074,172,2.6697710516103994
E07000075,139,1.5980501488830894
E07000076,291,1.9958437069196107
E07000077,382,4.28351966270086
E07000078,320,2.7329404731403195
E07000079,597,6.70620745433713
E07000080,329,3.801578406110257
E07000081,242,1.8718335460416908
E07000082,567,4.7639452524386865
E07000083,271,2.926597479454422
E07000084,471,2.6802633600600925
E07000085,458,3.795129307844648
E07000086,292,2.215158664532427
E07000087,206,1.770687387720369
E07000088,106,1.242920628964741
E07000089,272,2.8247120766826246
E07000090,180,1.4306947612726824
E07000091,530,2.948490428532486
E07000092,174,1.828845304912657
E07000093,395,3.1557334483777932
E07000094,685,5.511082505330061
E07000095,131,1.3522441058672943
E07000096,369,2.3917552501944517
E07000098,286,2.744589990883355
E07000099,418,3.1378083384629245
E07000102,246,2.6438819925842334
E07000103,190,1.9634792852935403
E07000105,403,3.1172407391650743
E07000106,411,2.497675520956774
E07000107,163,1.4857486623704528
E07000108,318,2.718669049064282
E07000109,167,1.569770174366687
E07000110,441,2.594804507075402
E07000111,442,3.674361766686341
E07000112,269,2.3894544227113648
E07000113,286,1.9256795426847744
E07000114,231,1.628836756711019
E07000115,351,2.6894902994452448
E07000116,457,3.8711098310942447
E07000117,99,1.1183028906435326
E07000118,197,1.6863406408094435
E07000119,165,2.068446784505453
E07000120,102,1.262141929097321
E07000121,372,2.5789276652385507
E07000122,130,1.4222416716809803
E07000123,322,2.2705157314304247
E07000124,190,3.163661188537556
E07000125,131,1.8478030890753931
E07000126,201,1.8185601708179904
E07000127,214,1.8780331551834593
E07000128,201,1.8071801695692438
E07000129,183,1.8223279991236894
E07000130,381,2.086036694535241
E07000131,344,3.7189591238824202
E07000132,205,1.82347028632931
E07000133,180,3.5225048923679063
E07000134,220,2.1542016724438438
E07000135,99,1.7351374088614695
E07000136,150,2.1624426952685756
E07000137,438,3.1120995303429706
E07000138,182,1.837659911751936
E07000139,296,2.5520541449325345
E07000140,238,2.532453713556076
E07000141,416,2.9326133391609623
E07000142,289,3.0463059587431087
E07000143,491,3.524033044089888
E07000144,371,2.8656614966322684
E07000145,149,1.4994465130321022
E07000146,452,2.9773863554024413
E07000147,518,4.954472415640065
E07000148,398,2.8199550791075336
E07000149,571,4.137171507857728
E07000150,72,1.0165614807912238
E07000151,331,3.9179016145068886
E07000152,254,2.7048324920665348
E07000153,215,2.1231212845377523
E07000154,373,1.656702761763478
E07000155,390,4.215532616332487
E07000156,165,2.076046201464556
E07000163,293,5.155546171171172
E07000164,435,4.773191125156363
E07000165,635,3.9555729974522373
E07000166,245,4.601457441214034
E07000167,301,5.480699198834668
E07000168,330,3.0348734549735137
E07000169,219,2.457746953067134
E07000170,111,0.8729777980511361
E07000171,247,2.1140201473822953
E07000172,192,1.695034960096052
E07000173,209,1.7744044283700948
E07000174,159,1.4608465559853363
E07000175,382,3.1423259793034237
E07000176,307,2.6089690747932797
E07000177,443,2.969945226969516
E07000178,639,4.140558683833678
E07000179,676,4.811250925240563
E07000180,630,4.7109143660455235
E07000181,523,4.763205828779599
E07000187,472,4.108599333223074
E07000188,351,2.8585156892606136
E07000189,629,3.7471479378771724
E07000192,108,1.0788240817508916
E07000193,259,2.184289979253462
E07000194,266,2.558553359303612
E07000195,188,1.4518495636728705
E07000196,222,1.9799154522590658
E07000197,387,2.848101265822785
E07000198,235,2.3882841956563716
E07000199,89,1.1606979837763114
E07000200,406,4.441964529928557
E07000202,302,2.19585260157636
E07000203,458,4.468597855463299
E07000207,362,2.64956889611055
E07000208,146,1.8266439795816234
E07000209,503,3.401199548309881
E07000210,410,4.69897883167341
E07000211,363,2.456736398275547
E07000212,206,2.340909090909091
E07000213,156,1.5704592586626935
E07000214,213,2.396651439116052
E07000215,330,3.771600987473713
E07000216,517,4.115914338030412
E07000217,253,2.500815483309775
E07000218,136,2.097147262914418
E07000219,124,0.9619711098353788
E07000220,243,2.2669179245107003
E07000221,510,3.9974917698698853
E07000222,480,3.3687993037814774
E07000223,102,1.5970188980569604
E07000224,323,2.0209351361159253
E07000225,536,4.438923395445135
E07000226,137,1.218340922026181
E07000227,457,3.213399242003417
E07000228,427,2.8520665793903124
E07000229,186,1.6905248807089297
E07000234,200,2.0271229044616974
E07000235,353,4.519094132858807
E07000236,102,1.200155314217134
E07000237,239,2.3456438743363006
E07000238,449,3.525993403486728
E07000239,234,2.315410342166195
E07000240,468,3.17561561480054
E07000241,242,1.9715510077721472
E07000242,526,3.5515343843894533
E07000243,94,1.0711762426783964
E07000244,954,3.8429157821380953
E07000245,472,2.638625678523711
E07000246,579,3.7630145711203253
E08000001,375,1.3140742609646356
E08000002,342,1.7989774233593536
E08000003,940,1.7164968126115037
E08000004,258,1.094969506372468
E08000005,259,1.1772673760573815
E08000006,483,1.8985252036099494
E08000007,465,1.5936937708850998
E08000008,238,1.0568524447483758
E08000009,437,1.8487963785590387
E08000010,279,0.8555972620887613
E08000011,130,0.8691524426526532
E08000012,922,1.8633264216453052
E08000013,205,1.1385789423990136
E08000014,433,1.5722813693735567
E08000015,537,1.6613299921110027
E08000016,278,1.133772976235629
E08000017,381,1.2268871843422144
E08000018,292,1.1032564958004467
E08000019,975,1.6738025016051337
E08000021,592,1.9720449306453118
E08000022,319,1.5486564555671531
E08000023,150,0.9982364489402056
E08000024,304,1.0958232552439107
E08000025,1773,1.5533909130574202
E08000026,460,1.2541407091347794
E08000027,456,1.422217786455247
E08000028,312,0.9530267763869289
E08000029,405,1.8845185636711352
E08000030,285,1.0057238035415592
E08000031,278,1.061036304234985
E08000032,881,1.6400675387631172
E08000033,405,1.927818661284641
E08000034,739,1.68441878434653
E08000035,1218,1.5433467563108692
E08000036,366,1.0607527286849565
E08000037,339,1.6740079404270447
E09000001,1200,137.83597518952448
E09000002,225,1.0613307672713892
E09000003,1694,4.319885755087469
E09000004,271,1.096021160083799
E09000005,598,1.8077661391496245
E09000006,621,1.875588953052891
E09000007,1782,6.795664808218865
E09000008,669,1.736102100449985
E09000009,657,1.9211537449339438
E09000010,521,1.560492288891751
E09000011,484,1.6912078158959558
E09000012,1319,4.716357070065972
E09000013,495,2.669528545079978
E09000014,591,2.1838417878680385
E09000015,615,2.4585347133108666
E09000016,318,1.2334665063418797
E09000017,461,1.5123481090727764
E09000018,444,1.6396954007282611
E09000019,1242,5.193567002032266
E09000020,787,5.038509062273923
E09000021,344,1.9604490796147487
E09000022,899,2.7583709962966028
E09000023,504,1.6604290759580411
E09000024,395,1.9157459769334484
E09000025,536,1.5227056433857473
E09000026,509,1.6751245647638042
E09000027,608,3.0877991305407715
E09000028,1017,3.205613132612149
E09000029,338,1.652609705414986
E09000030,879,2.766717552446452
E09000031,385,1.3913986266714853
E09000032,651,1.994033215508739
E09000033,2607,10.21055599943601
W06000001,201,2.8730292591586744
W06000002,500,4.026478120117896
W06000003,290,2.4748039357916385
W06000004,279,2.9266757578936327
W06000005,284,1.8252749159666566
W06000006,261,1.9173412867490414
W06000008,279,3.8223366944322663
W06000009,381,3.046659469833273
W06000010,547,2.9162756973470954
W06000011,382,1.5499095209886962
W06000012,204,1.4275117909674893
W06000013,223,1.5392473563599214
W06000014,299,2.262323610638217
W06000015,729,2.0013836726625818
W06000016,339,1.4117294310189021
W06000018,207,1.1435263701600384
W06000019,70,1.0041168792047395
W06000020,139,1.4938365807262841
W06000021,336,3.5690765014552484
W06000022,206,1.3437528538440464
W06000023,728,5.496538237936684
W06000024,92,1.5286708871275942
